Entity,Code,Year,Per_capita_international_aviation_CO2
Afghanistan,AFG,2018,3.524351898
Algeria,DZA,2018,19.42745357
Angola,AGO,2018,12.85150319
Argentina,ARG,2018,59.68166978
Australia,AUS,2018,495.9480056
Austria,AUT,2018,248.6405963
Azerbaijan,AZE,2018,39.7780951
Bahrain,BHR,2018,483.1006784
Bangladesh,BGD,2018,6.920816207
Belarus,BLR,2018,27.05822622
Belgium,BEL,2018,235.2827468
Bolivia,BOL,2018,21.90783433
Brazil,BRA,2018,27.82738062
Brunei,BRN,2018,396.1992232
Bulgaria,BGR,2018,93.96739583
Cambodia,KHM,2018,35.38912982
Canada,CAN,2018,294.5124428
Chile,CHL,2018,97.6982618
China,CHN,2018,21.2753777
Colombia,COL,2018,37.0890796
Costa_Rica,CRI,2018,130.3605836
Croatia,HRV,2018,128.5185161
Cuba,CUB,2018,107.9481718
Czechia,CZE,2018,108.4515622
Democratic_Republic_of_Congo,COD,2018,1.426397623
Denmark,DNK,2018,412.9848155
Ecuador,ECU,2018,31.23921328
Egypt,EGY,2018,24.65732047
El_Salvador,SLV,2018,65.92142599
Ethiopia,ETH,2018,15.71444113
Fiji,FJI,2018,386.0774636
Finland,FIN,2018,328.3475283
France,FRA,2018,224.9236837
Georgia,GEO,2018,95.80419496
Germany,DEU,2018,248.3482208
Greece,GRC,2018,294.6875362
Hungary,HUN,2018,90.43976015
Iceland,ISL,2018,3505.599607
India,IND,2018,6.352278072
Indonesia,IDN,2018,17.5037768
Iran,IRN,2018,12.77724882
Iraq,IRQ,2018,14.30357253
Ireland,IRL,2018,574.1261808
Israel,ISR,2018,316.5495168
Italy,ITA,2018,158.9996771
Japan,JPN,2018,110.1856131
Jordan,JOR,2018,72.80564289
Kazakhstan,KAZ,2018,36.88052534
Kenya,KEN,2018,22.52564545
Kuwait,KWT,2018,325.676344
Kyrgyzstan,KGZ,2018,34.3129222
Latvia,LVA,2018,198.7432254
Lebanon,LBN,2018,107.4545531
Libya,LBY,2018,11.08357038
Luxembourg,LUX,2018,358.3223006
Madagascar,MDG,2018,5.538422195
Malaysia,MYS,2018,168.8638092
Malta,MLT,2018,991.6392014
Mauritius,MUS,2018,599.8179074
Mexico,MEX,2018,48.64139781
Moldova,MDA,2018,42.54019227
Mongolia,MNG,2018,29.81084831
Morocco,MAR,2018,55.20654534
Myanmar,MMR,2018,6.32003531
Namibia,NAM,2018,78.65809372
Nepal,NPL,2018,15.61716063
Netherlands,NLD,2018,467.3474115
New_Zealand,NZL,2018,640.2785927
Nigeria,NGA,2018,4.11565401
Norway,NOR,2018,298.0303026
Oman,OMN,2018,289.4468391
Pakistan,PAK,2018,7.634999189
Panama,PAN,2018,446.9304006
Papua_New_Guinea,PNG,2018,10.32787745
Peru,PER,2018,55.38162043
Philippines,PHL,2018,36.42877156
Poland,POL,2018,64.35440283
Portugal,PRT,2018,387.5708123
Qatar,QAT,2018,2472.695468
Romania,ROU,2018,60.67468677
Russia,RUS,2018,48.39363962
Rwanda,RWA,2018,12.34833749
Saudi_Arabia,SAU,2018,169.359591
Serbia,SRB,2018,36.33324056
Singapore,SGP,2018,1741.036404
South_Africa,ZAF,2018,59.82974541
South_Korea,KOR,2018,210.1777079
Spain,ESP,2018,335.0745508
Sri_Lanka,LKA,2018,58.52586807
Suriname,SUR,2018,163.7693647
Sweden,SWE,2018,229.7675589
Switzerland,CHE,2018,513.2845409
Tajikistan,TJK,2018,20.93568722
Thailand,THA,2018,151.0438006
Trinidad_and_Tobago,TTO,2018,136.3972318
Tunisia,TUN,2018,58.76746057
Turkey,TUR,2018,102.4357679
Turkmenistan,TKM,2018,24.66995348
Ukraine,UKR,2018,31.21718567
United_Arab_Emirates,ARE,2018,2195.111739
United_Kingdom,GBR,2018,422.0862788
United_States,USA,2018,170.6010042
Uzbekistan,UZB,2018,15.18650872
Venezuela,VEN,2018,10.8581389
Vietnam,VNM,2018,33.5513296
World,OWID_WRL,2018,58.13631375
